fecha_fact;fact;fact_pos;canal;ID;denominacion_1;valor;servicio;descservicio;tiposervicio;tipopres
22/08/2023;112542;10;VA;90098748;EMP;229600.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/09/2023;127541;10;VA;90124027;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;134345;80;VA;90057518;EMP;16200.0;Bienestar;Bienestar Emp;VentaInterna;Normal
14/06/2023;106229;40;VA;90120903;EMP;65600.0;Bienestar;Bienestar personas;VentaInterna;Normal
22/08/2023;119422;40;VA;90130238;EMP;9900.0;Bienestar;Bienestar Emp;VentaInterna;Normal
5/12/2023;144893;90;VA;90038012;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
19/07/2023;112765;30;VA;90163036;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/12/2023;8786;20;VA;90092480;EMP;463500.0;Bienestar;Bienestar personas;VentaInterna;Normal
24/08/2023;120878;10;CT;80025425;EMP;288900.0;CES;CES Educa;VentaInterna;Especial
9/10/2023;121724;10;VA;90017358;EMP;360000.0;Escuela;CES Emp;VentaInterna;Normal
18/09/2023;126738;10;VA;80011782;EMP;87400.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/10/2023;122654;30;VA;90049821;EMP;10000.0;SedeExterna;Vivencias;VentaExterna;Especial
19/07/2023;112600;40;VA;90124009;EMP;88100.0;Bienestar;Bienestar Emp;VentaInterna;Normal
20/12/2023;119680;10;VA;90094489;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;134345;20;VA;90057518;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
20/11/2023;142010;30;VA;81104720;EMP;98400.0;Bienestar;Bienestar personas;VentaInterna;Normal
17/08/2023;120293;10;CT;90022991;EMP;61900.0;CES;CES Educa;VentaInterna;Especial
20/11/2023;142644;40;CT;90130238;EMP;34400.0;CES;CES Educa;VentaInterna;Especial
28/06/2023;107591;10;VA;80004254;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/12/2023;8786;10;VA;90092480;EMP;350000.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/09/2023;103699;20;VA;89093385;EMP;22300.0;Bienestar;Bienestar Emp;VentaInterna;Especial
31/08/2023;122044;50;CT;81103883;EMP;48800.0;CES;CES Educa;VentaInterna;Especial
19/10/2023;133431;10;VA;81103886;T.A.;133400.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/11/2023;118395;10;VA;90144272;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;135371;10;CT;89090871;EMP;534500.0;SedeExterna;Vivencias 2;VentaInterna;Normal
1/09/2023;113822;30;VA;81103019;EMP;360000.0;Escuela;CES Emp;VentaInterna;Normal
9/10/2023;133001;10;VA;90090278;EMP;173900.0;CES;CES Educa;VentaInterna;Especial
5/12/2023;144893;70;VA;90038012;EMP;75500.0;Bienestar;Bienestar Emp;VentaInterna;Normal
22/06/2023;100174;30;VA;81102898;EMP;455800.0;SedeExterna;Vivencias;VentaInterna;Normal
19/09/2023;127323;120;VA;90120903;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
7/12/2023;140625;20;VA;80002121;EMP;694641.0;SedeExterna;Vivencias;VentaInterna;Especial
9/11/2023;126389;10;VA;90016172;EMP;1639000.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/10/2023;136552;10;CT;81101355;EMP;259600.0;CES;CES Educa;VentaInterna;Especial
21/06/2023;101053;40;VA;90036983;EMP;36835.0;SedeExterna;Vivencias;VentaExterna;Especial
30/10/2023;136666;10;CT;89092274;EMP;1626800.0;CES;CES Educa;VentaInterna;Normal
29/08/2023;119597;40;CT;90051748;T.A.;48800.0;Bienestar;Bienestar personas;VentaInterna;Normal
1/11/2023;134345;30;VA;90057518;EMP;4900.0;Bienestar;Bienestar Emp;VentaInterna;Especial
20/11/2023;135627;20;VA;80002162;EMP;174504.0;SedeExterna;Vivencias;VentaInterna;Especial
5/12/2023;145222;10;VA;90163036;EMP;65600.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/07/2023;112638;10;VA;90124027;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/12/2023;999999;10;TU;90091420;;2587835.0;SedeExterna;Viaje;VentaInterna;Normal
20/11/2023;142285;60;VA;90057518;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
11/09/2023;999999;10;TU;80019148;;953470.0;SedeExterna;Viaje;VentaInterna;Normal
6/12/2023;136770;30;VA;90016172;T.A.;125000.0;Actuar por lo vivo;Cultura;VentaInterna;Normal
13/12/2023;144564;20;CT;90043261;EMP;3248000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
13/12/2023;144564;10;CT;90043261;EMP;508496.0;SedeExterna;Vivencias;VentaInterna;Especial
14/12/2023;148099;10;VA;90042864;EMP;350000.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/06/2023;106029;20;VA;90056582;EMP;196800.0;Bienestar;Bienestar personas;VentaInterna;Normal
5/07/2023;108032;20;VA;90108504;EMP;721000.0;Bienestar;Bienestar personas;VentaInterna;Normal
7/07/2023;101863;20;VA;90015364;EMP;232300.0;SedeExterna;Vivencias 2;VentaInterna;Normal
12/10/2023;8456;20;CT;90015364;EMP;229517.0;SedeExterna;Vivencias;VentaInterna;Especial
15/12/2023;111615;10;CT;90142129;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
4/12/2023;8749;10;VA;90124513;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/10/2023;133879;50;CT;90124513;EMP;75000.0;SedeExterna;Vivencias;VentaExterna;Especial
17/11/2023;141754;10;VA;80009002;EMP;36100.0;CES;CES Educa;VentaInterna;Normal
24/07/2023;113900;20;CT;80019279;EMP;287100.0;CES;CES Educa;VentaInterna;Especial
18/08/2023;119021;40;VA;90038012;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/12/2023;141842;50;VA;80018032;EMP;270864.0;SedeExterna;Vivencias;VentaInterna;Especial
12/12/2023;121267;10;VA;80018032;EMP;3000000.0;SedeExterna;Vivencias;VentaInterna;Normal
22/11/2023;122080;20;VA;90052796;EMP;1617000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
5/12/2023;112801;10;VA;81100006;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/12/2023;144898;20;VA;90057518;EMP;49700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
11/12/2023;144898;70;VA;90057518;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
23/06/2023;107124;10;VA;90124009;EMP;51500.0;CES;CES Educa;VentaInterna;Especial
23/06/2023;105155;50;CT;80011677;EMP;199500.0;CES;CES Educa;VentaInterna;Especial
15/06/2023;105975;130;VA;90038012;EMP;8300.0;Bienestar;Bienestar Emp;VentaInterna;Normal
24/11/2023;136940;10;CT;81102980;EMP;754000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
8/09/2023;115080;10;CT;89090703;EMP;962500.0;Bienestar;Bienestar personas;VentaInterna;Normal
1/09/2023;115093;20;VA;90022365;EMP;205000.0;SedeExterna;Vivencias;VentaExterna;Especial
20/10/2023;135303;10;VA;90108504;EMP;350000.0;Bienestar;Bienestar personas;VentaInterna;Normal
5/09/2023;118564;20;VA;81103886;T.A.;18100.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/07/2023;112698;20;VA;90146051;EMP;87400.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/07/2023;112631;10;VA;90117444;EMP;164000.0;Bienestar;Bienestar personas;VentaInterna;Normal
3/10/2023;127609;20;VA;90042959;EMP;206000.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/12/2023;149326;50;CT;90130238;EMP;10400.0;CES;CES Educa;VentaInterna;Especial
14/06/2023;106311;20;VA;90049006;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;129414;90;VA;90153046;T.A.;301669.0;SedeExterna;Vivencias;VentaExterna;Especial
16/08/2023;114844;10;VA;90038809;EMP;2392800.0;SedeExterna;Vivencias;VentaInterna;Normal
19/12/2023;149018;10;VA;90092480;EMP;87400.0;Bienestar;Bienestar personas;VentaInterna;Normal
21/11/2023;141853;20;VA;90092480;EMP;154500.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/10/2023;8464;10;VA;89093385;EMP;190530.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/08/2023;119021;10;VA;90038012;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/08/2023;119924;10;VA;90108504;EMP;700000.0;Bienestar;Bienestar personas;VentaInterna;Normal
21/07/2023;113431;10;VA;90042959;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
24/08/2023;113846;10;CT;81104720;EMP;831000.0;Bienestar;Bienestar personas;VentaInterna;Especial
21/07/2023;113309;20;VA;90092480;EMP;103000.0;Bienestar;Bienestar personas;VentaInterna;Normal
15/06/2023;105975;40;VA;90038012;EMP;9900.0;Bienestar;Bienestar Emp;VentaInterna;Normal
5/10/2023;119674;10;VA;90094489;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/06/2023;106326;10;VA;90146051;EMP;63900.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/07/2023;112638;20;VA;90124027;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/10/2023;134899;10;VA;89093385;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
3/09/2023;999999;10;TU;80012969;;1848740.0;SedeExterna;Viaje;VentaInterna;Normal
17/11/2023;141108;10;VA;81101355;EMP;62700.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/09/2023;115275;70;CT;81104720;EMP;10000.0;SedeExterna;Vivencias;VentaExterna;Especial
25/10/2023;135371;20;CT;89090871;EMP;145420.0;SedeExterna;Vivencias;VentaInterna;Normal
25/10/2023;129414;70;VA;90153046;T.A.;30000.0;SedeExterna;Vivencias;VentaExterna;Especial
20/11/2023;142285;20;VA;90057518;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
17/11/2023;140721;30;VA;90104019;T.A.;145600.0;Bienestar;Bienestar personas;VentaInterna;Normal
28/08/2023;114072;20;CT;90016172;T.A.;152200.0;Escuela;Idiomas;VentaInterna;Normal
18/07/2023;107511;20;VA;90120903;EMP;195000.0;SedeExterna;Vivencias;VentaExterna;Especial
30/06/2023;107211;10;CT;80024892;EMP;1217100.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/11/2023;142285;220;VA;90057518;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
2/10/2023;125646;20;CT;81102224;EMP;51500.0;Bienestar;Bienestar personas;VentaInterna;Especial
10/08/2023;114895;40;VA;90097976;EMP;128500.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
10/08/2023;118320;20;VA;81102224;T.A.;78900.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/10/2023;127754;20;CT;81102672;T.A.;160000.0;SedeExterna;Vivencias;VentaExterna;Especial
10/11/2023;127574;50;VA;90015364;EMP;385724.0;SedeExterna;Vivencias;VentaInterna;Normal
20/12/2023;141750;40;VA;90090278;T.A.;567600.0;SedeExterna;Vivencias 2;VentaInterna;Normal
19/09/2023;126352;10;VA;89098048;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/09/2023;127351;10;VA;90117444;EMP;98400.0;Bienestar;Bienestar personas;VentaInterna;Normal
15/09/2023;122215;10;VA;90100460;EMP;2117000.0;Bienestar;Bienestar personas;VentaInterna;Normal
15/11/2023;8480;10;VA;90005397;EMP;2864000.0;SedeExterna;Vivencias;VentaInterna;Normal
12/10/2023;133348;10;VA;90137658;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/12/2023;144020;10;CT;81104076;EMP;3462000.0;SedeExterna;Vivencias;VentaInterna;Normal
20/09/2023;127911;10;CT;90036073;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/09/2023;128857;30;CT;80008918;T.A.;81000.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/07/2023;113863;10;VA;80009002;EMP;423400.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/11/2023;126238;30;CT;90022991;EMP;680000.0;SedeExterna;Vivencias;VentaInterna;Especial
29/08/2023;118469;40;VA;90090259;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/08/2023;119924;20;VA;90108504;EMP;618000.0;Bienestar;Bienestar personas;VentaInterna;Normal
24/08/2023;120835;60;VA;90090259;T.A.;341600.0;Bienestar;Bienestar personas;VentaInterna;Normal
21/07/2023;113431;20;VA;90042959;EMP;103000.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/08/2023;118952;10;VA;89093385;EMP;87400.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/09/2023;126452;10;CT;90128283;EMP;1225000.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/10/2023;135209;10;VA;81103019;EMP;352600.0;CES;CES Educa;VentaInterna;Especial
28/12/2023;133815;30;VA;90052935;EMP;63723.0;SedeExterna;Vivencias;VentaInterna;Especial
26/06/2023;107468;20;VA;90062588;EMP;19200.0;Ahorro;Seguros;VentaInterna;Especial
9/11/2023;112800;10;VA;81100006;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/10/2023;126114;20;VA;90124009;EMP;189800.0;Bienestar;Bienestar Emp;VentaInterna;Normal
5/07/2023;108032;10;VA;90108504;EMP;787500.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/11/2023;142285;80;VA;90057518;EMP;18800.0;Bienestar;Bienestar Emp;VentaInterna;Normal
4/09/2023;122261;10;CT;80025425;EMP;326900.0;CES;CES Educa;VentaInterna;Especial
19/09/2023;127323;30;VA;90120903;EMP;9900.0;Bienestar;Bienestar Emp;VentaInterna;Normal
17/11/2023;141726;10;VA;90036983;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/12/2023;146650;10;VA;90098377;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/09/2023;129099;30;VA;90076533;EMP;104070.0;SedeExterna;Vivencias;VentaInterna;Especial
15/06/2023;105971;20;VA;90052627;EMP;63900.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/08/2023;8139;50;VA;90097976;T.A.;10000.0;SedeExterna;Vivencias;VentaExterna;Especial
22/06/2023;100174;20;VA;81102898;EMP;2670000.0;SedeExterna;Vivencias;VentaInterna;Normal
24/07/2023;113696;60;VA;81101355;EMP;201000.0;Bienestar;Bienestar personas;VentaInterna;Normal
30/10/2023;136757;10;VA;90036983;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
5/12/2023;119678;10;VA;90094489;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
7/12/2023;140625;50;VA;80002121;T.A.;153700.0;SedeExterna;Vivencias 2;VentaInterna;Normal
29/06/2023;107555;10;VA;90092480;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/08/2023;119292;30;VA;90120903;EMP;8300.0;Bienestar;Bienestar Emp;VentaInterna;Normal
27/09/2023;8376;10;CT;90051748;T.A.;244000.0;Bienestar;Bienestar personas;VentaInterna;Normal
14/06/2023;106254;30;VA;90124513;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
30/11/2023;136624;10;CT;90139363;EMP;2115000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
29/09/2023;129344;10;CT;81102980;EMP;85000.0;CES;CES Educa;VentaInterna;Especial
21/06/2023;107084;10;VA;90035924;EMP;423400.0;Bienestar;Bienestar personas;VentaInterna;Normal
6/09/2023;121208;40;CT;80010382;EMP;800000.0;SedeExterna;Vivencias;VentaInterna;Especial
16/11/2023;120211;10;VA;90005035;EMP;2153520.0;SedeExterna;Vivencias;VentaInterna;Normal
9/06/2023;104960;10;VA;81101355;EMP;125400.0;Bienestar;Bienestar personas;VentaInterna;Normal
22/08/2023;119422;20;VA;90130238;EMP;9900.0;Bienestar;Bienestar Emp;VentaInterna;Normal
24/10/2023;135278;10;VA;81100403;EMP;350000.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;134345;170;VA;90057518;EMP;18800.0;Bienestar;Bienestar Emp;VentaInterna;Normal
26/07/2023;113960;20;VA;90124009;EMP;119400.0;CES;CES Educa;VentaInterna;Especial
15/06/2023;105971;30;VA;90052627;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/10/2023;134266;30;VA;89093385;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/07/2023;999999;10;TU;80024892;;788155.0;SedeExterna;Viaje;VentaInterna;Normal
18/09/2023;126711;20;VA;81103019;EMP;131200.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/11/2023;142285;30;VA;90057518;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
11/12/2023;144552;10;VA;81102224;T.A.;115100.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/09/2023;128433;10;CT;90021024;EMP;1693600.0;Bienestar;Bienestar personas;VentaInterna;Normal
30/06/2023;106837;20;CT;90068877;EMP;962500.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/11/2023;141308;10;VA;81100403;EMP;175000.0;Bienestar;Bienestar personas;VentaInterna;Normal
28/11/2023;143494;20;VA;89092202;T.A.;19600.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/09/2023;127845;10;VA;90017358;EMP;381060.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/10/2023;133347;20;VA;90137658;EMP;206000.0;Bienestar;Bienestar personas;VentaInterna;Normal
15/09/2023;113363;10;VA;81100403;EMP;1676300.0;Bienestar;Bienestar personas;VentaInterna;Especial
21/11/2023;142828;10;CT;80025425;EMP;16200.0;CES;CES Educa;VentaInterna;Especial
18/09/2023;126988;50;VA;89093385;EMP;49700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
28/12/2023;149884;10;VA;80008918;EMP;198600.0;Bienestar;Bienestar personas;VentaInterna;Normal
30/10/2023;136915;10;VA;90087821;EMP;252650.0;CES;CES Educa;VentaInterna;Especial
27/12/2023;148799;60;CT;90120060;T.A.;790200.0;SedeExterna;Vivencias;VentaInterna;Normal
17/10/2023;134993;10;CT;90022991;EMP;277400.0;CES;CES Educa;VentaInterna;Especial
13/09/2023;122650;20;VA;81102986;T.A.;66700.0;Bienestar;Bienestar personas;VentaInterna;Normal
18/08/2023;119292;10;VA;90120903;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/11/2023;135935;10;VA;90090278;T.A.;68500.0;Escuela;CES Emp;VentaInterna;Normal
10/11/2023;108124;70;VA;89098535;EMP;527313.0;SedeExterna;Vivencias;VentaInterna;Normal
6/09/2023;8295;10;CT;90036073;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
14/12/2023;148097;10;VA;90042959;EMP;350000.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/06/2023;107575;10;CT;89093385;EMP;553400.0;CES;CES Educa;VentaInterna;Especial
25/10/2023;135704;10;VA;80007263;EMP;163100.0;CES;CES Educa;VentaInterna;Especial
20/11/2023;142014;20;VA;81103019;EMP;65600.0;Bienestar;Bienestar personas;VentaInterna;Normal
28/12/2023;133815;40;VA;90052935;T.A.;85000.0;SedeExterna;Vivencias;VentaExterna;Especial
15/08/2023;115022;10;VA;90015364;EMP;411400.0;SedeExterna;Vivencias;VentaInterna;Normal
1/06/2023;101492;20;VA;83010769;T.A.;223300.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/10/2023;128590;30;VA;80011782;T.A.;297000.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/11/2023;142274;20;VA;90052627;EMP;63900.0;Bienestar;Bienestar personas;VentaInterna;Normal
28/12/2023;142753;50;VA;81102986;EMP;373218.0;SedeExterna;Vivencias;VentaInterna;Especial
4/12/2023;144487;10;CT;80025425;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/08/2023;119597;10;CT;90051748;T.A.;364500.0;Bienestar;Bienestar personas;VentaInterna;Normal
22/08/2023;119422;80;VA;90130238;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
12/09/2023;126136;10;CT;81102980;EMP;211700.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/09/2023;129099;10;VA;90076533;EMP;36355.0;SedeExterna;Vivencias;VentaInterna;Especial
19/10/2023;134457;10;VA;90092480;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/08/2023;8139;40;VA;90097976;EMP;128500.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
3/05/2023;94655;10;CT;90128795;EMP;2764050.0;SedeExterna;Vivencias;VentaInterna;Normal
26/06/2023;107452;10;VA;89093385;T.A.;68300.0;Bienestar;Bienestar personas;VentaInterna;Normal
5/10/2023;112797;10;VA;81100006;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/10/2023;129729;50;VA;90044420;EMP;4408000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
30/10/2023;135372;10;CT;89090871;EMP;534500.0;SedeExterna;Vivencias 2;VentaInterna;Normal
11/08/2023;8139;10;VA;90097976;EMP;1127000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
25/09/2023;999999;10;TU;90051748;;5029450.0;SedeExterna;Viaje;VentaInterna;Normal
20/12/2023;148974;90;VA;90038012;EMP;98400.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/10/2023;133768;30;CT;90124513;EMP;29084.0;SedeExterna;Vivencias;VentaInterna;Especial
1/09/2023;8252;20;CT;89092274;EMP;1157800.0;CES;CES Educa;VentaInterna;Especial
15/11/2023;141444;10;VA;89092202;EMP;190530.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/12/2023;137574;60;CT;90062268;T.A.;536200.0;SedeExterna;Vivencias 2;VentaInterna;Normal
13/12/2023;147759;20;VA;81100403;EMP;206000.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/09/2023;125735;10;VA;90066792;EMP;1176000.0;Bienestar;Bienestar personas;VentaInterna;Normal
3/08/2023;113105;30;CT;89091406;EMP;30000.0;SedeExterna;Vivencias;VentaExterna;Especial
10/08/2023;113598;40;VA;90163036;EMP;525600.0;Ahorro;Seguros;VentaInterna;Normal
5/12/2023;144793;10;VA;80017038;EMP;87400.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/11/2023;142285;120;VA;90057518;EMP;18800.0;Bienestar;Bienestar Emp;VentaInterna;Normal
15/08/2023;119795;80;VA;81101355;EMP;603000.0;Bienestar;Bienestar personas;VentaInterna;Normal
25/10/2023;134600;10;VA;90124009;EMP;98400.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/11/2023;127915;20;VA;90052627;T.A.;205000.0;SedeExterna;Vivencias;VentaExterna;Especial
2/11/2023;137293;10;CT;90038811;EMP;182400.0;Ahorro;Seguros;VentaInterna;Normal
8/11/2023;120096;40;VA;89030065;EMP;248400.0;SedeExterna;Vivencias;VentaInterna;Especial
20/11/2023;142285;110;VA;90057518;EMP;49700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
6/09/2023;122408;20;VA;81102224;T.A.;78900.0;Bienestar;Bienestar personas;VentaInterna;Normal
19/10/2023;134336;110;VA;90038012;EMP;9900.0;Bienestar;Bienestar Emp;VentaInterna;Normal
13/12/2023;143897;60;CT;90068877;T.A.;122809.0;SedeExterna;Vivencias;VentaExterna;Especial
19/07/2023;112410;20;VA;90056582;EMP;98400.0;Bienestar;Bienestar personas;VentaInterna;Normal
27/11/2023;8707;20;CT;90056359;T.A.;156000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
16/11/2023;127642;10;VA;90017358;EMP;891000.0;Bienestar;Bienestar personas;VentaInterna;Normal
16/11/2023;141389;10;VA;90144635;EMP;206000.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/07/2023;105051;10;VA;90062588;EMP;962500.0;Bienestar;Bienestar personas;VentaInterna;Normal
28/11/2023;143494;40;VA;89092202;T.A.;94800.0;Bienestar;Bienestar personas;VentaInterna;Normal
22/08/2023;119422;50;VA;90130238;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
